State|Year|Page|N_Pages|Text
California|2017|17|156|The bill also requires the Board of Forestry and Fire Protection to ensure that its rules and regulations that govern the harvesting of commercial forest tree species consider the capacity of forest resources to sequester carbon dioxide emissions sufficient to meet or exceed the sequestration target of 5 million metric tons of carbon dioxide equivalent (MMTCO2e)/year net annually, as established in the first AB 32 Climate Change Scoping Plan.
California|2017|28|156|California maintains a GHG inventory that is consistent with IPCC practices to allow for comparison of the statewide GHG emissions with those at the national level and with other international GHG inventories. Statewide GHG emissions are calculated using many data sources. The primary data source is from reports submitted to CARB through the Regulation for the Mandatory Reporting of GHG Emissions (MRR). MRR requires facilities and entities with more than 10,000 metric tons of carbon dioxide equivalent (MTCO2e) of combustion and process emissions, all facilities belonging to certain industries, and all electric power entities to submit an annual GHG emissions data report directly to CARB. Reports from facilities and entities that emit more than 25,000 MTCO2e are verified by a CARB-accredited third-party verification body.
California|2017|50|156|The proposed new regulation to achieve a 20 percent GHG reduction in the refinery sector would require all refineries, by 2030, to achieve the benchmark of the most efficient existing refinery on a simple barrel basis. An efficiency benchmark is reflected as GHG emissions per unit of product. This regulation would not limit mass GHG emissions, but would require facilities to become more efficient through any combination of actions such as fuel switching; boiler electrification; onsite investments in newer, more energy efficient technologies; use of lighter crude slates; and any other process efficiencies that would be identified in consultation with local air districts and CARB. As part of the development process for this measure, other metrics such as complexity- weighted barrel may also be evaluated.
California|2017|73|156|There may be technologies or policies that do not appear to be cost-effective when compared to the SC-CO2 associated with the avoided GHG reductions. However, these actions may result in other benefits that are not reflected in the SC-CO2, including diversification of the portfolio of transportation fuels (a goal outlined in the Low Carbon Fuel Standard) and reductions in criteria pollutant emissions from power plants (as in the Renewables Portfolio Standard). Regulatory mandates help to broaden the deployment of these technologies and address market failures. Policies may also reduce the cost of production and utilization of lower carbon technologies over time, helping the State achieve its climate goals and potentially providing other economic benefits such as clean economy jobs.
California|2017|92|156|California’s leadership on GHG reduction is exceptional. However, climate mitigation goals are often treated independently by sector, and the public does not see a unified message that changes must take place on every level in every sector to preserve human health and well-being. Climate strategy could be supported by public communications campaigns that link sectors and present a message of the need for bold action, along with the benefits that action can yield. Mass media communications and social marketing campaigns can help shift social and cultural norms toward sustainable and healthy practices. Messaging about the co-benefits of climate change policies in improving health and well-being can lead to increased community and decision-maker support among vulnerable groups for policies and measures outlined in the Proposed Plan.
California|2014|23|150|Ocean Acidification: Due to excess carbon dioxide in the atmosphere, the pH of seawater has decreased. This increased acidity poses risks to ocean ecosystems—the development of many shellfish, plankton, and other forms of ocean life—as well as to people who depend on oceans for their livelihood.
California|2014|28|150|Unlike other GHGs, the three main categories of fluorinated gases (HFCs, PFCs, and SF6) have no natural sources and only come from human-related activities. Chlorofluorocarbons (CFCs) and hydrochlorofluorocarbons (HCFCs) are also potent climate-forcing fluorinated gases, but they are regulated under the Montreal Protocol because of their role in the destruction of the protective stratospheric ozone layer. The fluorinated gases are used as refrigerants, foam-blowing agents, or for a variety of industrial processes such as aluminum and semiconductor manufacturing. Many fluorinated gases have very high GWPs relative to other GHGs, so relatively low atmospheric levels can have large effects on global temperatures.
California|2014|45|150|Cleaner and more efficient power plants, industrial facilities, cars and trucks, modernized freight systems, and reduced travel demand are already greatly reducing air pollution and cancer risks in California, particularly in environmental justice communities. Strengthening our natural environment, including those areas surrounding the most impacted urban and rural communities, will further improve public health.
California|2014|142|150|State law defines environmental justice as the fair treatment of people of all races, cultures, and incomes with respect to the development, adoption, implementation, and enforcement of environmental laws, regulations, and policies. ARB is committed to considering environmental justice in every program and process.
California|2014|147|150|Day by day, in steady steps of visible progress, we are seeing the emergence of a clean energy future. Solar panels are commonplace, whether on roofs, commercial warehouses, or in shiny ground-based arrays across the State. Thousands of wind turbines have become part of the California clean energy panorama, their blades describing slow graceful arcs as they generate more than 4,000 megawatts of pollution-free energy.
Colorado|2018|17|116|A shift in the timing of runoff is one highly probable effect on water supplies that will result from climate change. Projections indicate that runoff timing will shift an additional one to three weeks earlier by mid-century because of increased temperatures.12 For example, this may affect water-right holders who traditionally divert surface water during the crop-growing season, and it may affect those with limited access and rights to water storage options. It is also likely to result in decreased late-summer streamflow both because of increased temperatures—causing earlier snowmelt—and because of the projection that precipitation is likely to increase in the winter months but decrease in the summer months.13 At the same time, increased population, higher crop-irrigation requirements, and longer growing seasons will put additional pressure on a changing water supply.14
Colorado|2018|29|116|State and local government agencies in Colorado work cooperatively to minimize the spread of vector-borne diseases. The CDPHE tracks a number of diseases and publishes an annual assessment. Colorado has set a goal of developing an electronic disease reporting system to improve the state’s ability to monitor, detect, and respond to outbreaks or unusual trends in infectious diseases.2 Colorado will continue to evaluate disease rates and possible links to climate variables.
Colorado|2018|56|116|As the climate warms, it may become more costly to build and maintain roads and highways. Larger temperature variations resulting in drastic freeze and thaw cycles are extremely damaging to roadways, causing buckling and heaving of pavement12 and increased instance of rock fall in the mountains. Increased precipitation intensity is associated with reductions in traffic safety, decreases in traffic efficiency (such as speed and roadway capacity), and increases in traffic accidents.13 These climate changes can shorten the life expectancy of highways and roads by requiring increased maintenance and repair, which results in vehicle congestion, as well as limiting access to businesses and properties.
Colorado|2018|88|116|Active forest management is a critical tool in restoring forest health, reducing the risk of intense wildfires, and mitigating the impacts of climate change. An example of proactive management on a larger scale can be seen in Denver Water’s longstanding partnerships with the U.S. Forest Service and Colorado State Forest Service, which has resulted in tens of thousands of targeted acres being treated to reduce wildfire risk and protect critical watersheds. Activities in high-priority areas include reduction of forest vegetation (i.e., forest thinning), maintaining defensible space around utility infrastructures, and creating fuelbreaks along firefighter and resident ingress/ egress routes.
Colorado|2018|103|116|Colorado’s brewing industry is not only one of the biggest and most robust brewing industries in the country,25 it is a leader in putting in place actions that mitigate and adapt to the effects of climate change. In 2015, a handful of Colorado’s locally owned and operated breweries signed the Climate Declaration, committing to a number of actions to monitor and reduce their environmental impact.26 One brewery who signed on to the declaration is Fort Collins-based Odell Brewing Company, Colorado’s third largest craft brewery. The Odell Brewing Company powers 95 percent of its operations through wind generators and the other 5 percent through solar panels. The company also recaptures steam to use for heat in its brewing process.27 MillerCoors, with its largest brewery located in Golden, has identified its own environmental sustainability strategy, which includes a goal to reduce its per-barrel carbon footprint by 25 percent before 2020.28
Colorado|2019|2|11|This transition is already underway and shows no signs of slowing down. The two fastest-growing professions in the United States are solar photovoltaic installers and wind turbine service technicians. Fourteen Colorado towns and counties have already taken the initiative and adopted the goal of getting 100% of their electricity from clean renewable energy: Denver, Pueblo, Boulder, Fort Collins, Summit County, Frisco, Aspen, Glenwood Springs, Breckenridge, Longmont, Lafayette, Nederland to Golden. These diverse communities know that protecting Colorado’s way of life means doing our part to combat climate change, and that swiftly adopting renewable energy in our electricity sector and then extending the impact of that clean electricity across the economy will protect the health of our communities, create good paying jobs, strengthen our economy and keep rates low for customers.
Colorado|2019|4|11|Ensure that all communities across the state, including those served by rural electric cooperatives, are receiving the economic, health and environmental benefits of a transition to renewable energy, by ensuring that generation and transmission cooperatives are subject to PUC review of their resource plans.
Colorado|2019|9|11|As we transition to 100% renewable energy we need policies in place to ensure that workers in fossil fuel industries can put their skills to work in the clean energy economy, that we are creating opportunities for workers to train and compete for the good-paying jobs of tomorrow, and that we are not leaving any community behind.
Colorado|2019|7|11|Work with the Legislature to enable utilities to invest in electric vehicle infrastructure in ways that will support a more efficient grid and greater adoption of electric vehicles.
Colorado|2019|9|11|Strengthens an existing provision requiring electric resource acquisition decisions to be made with consideration of "best value" employment metrics and the use of Colorado labor by requiring a utility to obtain and provide to the PUC relevant documentation on these topics, including the availability of apprenticeship programs registered with the United States Department of Labor.
Connecticut|2005|19|302|The package consists of six complementary elements: 1. Double transit ridership by 2020. 2. Consider potential funding mechanisms for new transit investments, such as road pricing and the Connecticut Transportation Strategy Board’s fuel tax recommendation. 3. Establish a coordinated interagency program to promote smart growth in Connecticut using regulatory, financial, and planning tools. 4. Redirect at least 25% of new development (forecast population and employment) to growth­ appropriate locations, as indicated by the State Plan of Conservation and Development. 5. Study a potential road­-pricing pilot project, prepare a feasibility design study by 2006, and implement the pilot project if it is shown to be effective. Study the potential impact on equity and sprawl and consider broader implementation of road pricing in the long term. 6. Consider complementary VMT reduction incentives, such as commuter choices, location­ efficient mortgages, and mileage­-based insurance.
Connecticut|2005|75|302|An important ancillary benefit from a hydrogen and fuel program for Connecticut’s transportation sector is economic development. Connecticut currently has 35 percent, or 1,300, of the estimated jobs in fuel cell manufacturing, and over $300 million in fuel cell products have been manufactured and shipped from Connecticut.27 The Connecticut Clean Energy Fund estimates that the State’s hydrogen and fuel cell industry in Connecticut could create 33,000 direct and indirect jobs.28
Connecticut|2005|119|302|Promote a “green campus initiative” with all Connecticut colleges, universities, and private and secondary schools to minimize environmental impact and create “learning labs” for sustainability. This program would develop and support an effective process to promote energy and environmental sustainability with Connecticut educational institutions. The program would provide leadership and resources to engage schools and interest them in taking a comprehensive approach to lowering energy use and cost, reducing GHGs from building systems and transportation, improving water and wastewater management, increasing recycling, reducing the need for hazardous waste disposal, and promoting procurement of environmentally friendly products. The program would use a team­-based approach that engaged administrative staff, students, faculty, and technical experts.
Connecticut|2005|199|302|The CCAP modelling of a regional cap­-and­-trade program provides a useful estimate of the regional impacts of such a program. However, the final CCAP report focuses on the CO2 reduction impacts of the program within Connecticut. Focusing on emission changes in Connecticut only is inappropriate given the regional nature of the electric power system. Because electricity is provided via an interconnected, regional grid, generators outside of Connecticut commonly serve Connecticut customers, and generators in Connecticut commonly serve users in other northeastern states. Thus, the impact of any electric­ sector actions taken by Connecticut consumers will be regional in scale. However, it is even more critical to view the results of a cap­-and­-trade program regionally, as this is a regionally implemented program. Electricity consumers across the entire capped region would fund the emission reductions achieved by the power generating sector, and the generating sector would achieve those reductions where it was most efficient.
Connecticut|2005|175|302|There is at least one voluntary carbon offset program operating in Connecticut. Reforest The Tropics, Inc. is a non­profit organization committed to the development and demonstration of projects that offset US­-generated carbon dioxide emissions by planting new tropical forests. Reforest The Tropics has linked a number of CT carbon dioxide emitters with reforestation projects in Costa Rica. Connecticut’s voluntary participants include the Mohegan Tribal Nation, Connecticut College, the CT Municipal Electric Energy Cooperative, schools and individuals.
Connecticut|2018|5|67|With over 600 miles of coastline and 2.2 million people living in shoreline communities in Connecticut, the State’s residents and communities are extremely vulnerable to the impacts of weather and climate events. Connecticut residents are already beginning to experience such effects as climate change ramps up. For instance, in Connecticut alone, Hurricane Irene (2011) caused power outages affecting 754,000 customers and over $1 billion in damage, and Hurricane Sandy (2012) caused power outages affecting more than 600,000 customers and inflicted almost $2 billion in statewide damages.5 The latter forced thousands of Connecticut residents to evacuate, saw thousands apply for FEMA assistance, damaged roads and infrastructure, and took nine days for utilities to restore power.6 Many of Connecticut’s coastal communities and assets face escalating risk of storm events exacerbated by climate change.
Connecticut|2018|20|67|Connecticut is highly vulnerable to changes in mean and extreme climate due to regional characteristics like a dense population and aging infrastructure. Urban areas are at risk for large numbers of evacuated and displaced populations and damaged infrastructure due to prolonged heat waves, extreme precipitation events, and recurrent flooding. As winters become shorter and milder, tick and flea populations are predicted to rise, leading to more annual cases of vector-borne illnesses such as Lyme disease.
Connecticut|2018|30|67|Cost-effective energy efficiency measures are essential in the early years to drive down energy consumption and GHG emissions from fossil fuels. However, in the long term, as the electric-grid decarbonizes, the marginal impact of efficiency leads to less potent reductions in carbon emissions. Nevertheless, in the long run energy efficiency measures will help reduce the extent of increased electricity demand and avoid the costs of developing unnecessary generation and transmission/distribution capacity.
Connecticut|2018|35|67|A carbon fee policy represents the greatest opportunity to raise revenue while reducing economy-wide GHG emissions. A carbon fee charges a fee based on the amount of CO2 emissions released through fossil fuel combustion. A properly priced carbon fee will provide a strong, systematic monetary incentive to transition away from fossil fuels toward a more innovative, clean energy economy.33 Revenues generated from a carbon fee can be reinvested in climate change adaptation and mitigation efforts that provide meaningful local and state economic, environmental, and public health benefits.34 In addition, because carbon fees increase according to a predetermined schedule, they provide market certainty allowing companies and consumers alike to effectively plan how to adjust their operations and behaviors. Carbon fees can also be set in a manner that protects low-and moderate-income households from higher costs, and supports a just transition for impacted workers, communities and businesses.
Connecticut|2018|50|67|Congestion pricing is a travel-demand-management strategy to reduce wasted time and energy associated with traffic congestion. According to the Federal Highway Administration there are four main types of pricing strategies: Variably priced lanes — variable tolls on separated lanes within a highway, such as express toll lanes or high occupancy toll Lanes. Variable tolls on entire roadways — both on toll roads and bridges, as well as on existing toll-free facilities during rush hours. Cordon charges — either variable or fixed charges to drive within or into a congested area within a city. Area-wide charges — per-mile charges on all roads within an area that may vary by level of congestion.
DC|2010|5|54|Compared to other cities, the District’s per capita emissions are relatively high. A leading driver of these high emissions is the fact that the District’s daytime population swells by 400,000 workers every workday, which is the largest percentage increase in daytime population of any large city in the nation. Carbon emissions are also high because much of the District’s electricity comes from burning coal at distant power plants. This carbon-intensive power must be transmitted to the city over long distances, resulting in distribution losses of energy.
DC|2010|8|54|Our city-wide greenhouse gas emissions for 2006 totaled 10.5 million metric tons CO2e, from buildings (residential, non-residential, and federal); vehicles (indicated as VMT or vehicle miles traveled); mass transit (Metro); and waste. Figure ES.5 provides a breakdown of the specific energy sources of our greenhouse gas emissions, including electricity, natural gas, fuel oil, vehicle fuel (gasoline and diesel), kerosene, and emissions from solid waste. Electricity consumption is our largest driver of greenhouse gas emissions.
DC|2010|12|54|DC Water will convert sewage organic matter to methane and generate an estimated 10 megawatts of electricity, offsetting its purchase from outside electric suppliers.
DC|2010|29|54|The quantification for this measure considers only the savings that will occur as a result of installing more energy efficient IT servers. While other energy savings are anticipated with the consolidation, it is not possible to estimate these using available data. These estimated savings are considered conservative, since only a portion of the potential energy savings are included. The estimated energy savings are based upon calculating the existing server count and the expected consumption of each standard server, and applying a 30% reduction to that figure to compute the energy savings.
DC|2010|45|54|District Government, local businesses and associations, and residents can reduce their greenhouse gas emissions by choosing to purchase and use less carbon-intensive products. The use of these products reduces environmental impacts associated with the manufacture, use and disposal of many items in common daily use. The District Government is adopting Environmentally Preferable Purchasing (EPP) practices for District Government agencies. A number of government and private sector EPP program models are available to guide businesses and individuals on EPP, such as the EPA Comprehensive Procurement Guidelines (CPG) for recycled content, and Energy Star and EPEAT Silver ranked computers. Examples of target products include: office sup- plies; computers and peripherals; copiers; vending machines; lighting; carpet; and cleaning supplies and chemicals.
DC|2018|12|275|As existing District Government plans address other areas of the transportation sector, Clean Energy DC zeros in on the opportunities of vehicle electrification. The Plan recommends policies and actions that provide electric vehicle infrastructure, such as public charging stations. It also identifies financial and other appropriate incentives to make it easier for people to choose an electric model when shopping for a new vehicle.
DC|2018|118|275|Given the Plan’s strong focus on GHG emissions, the District Government should also track and report out on the DCSEU’s progress in reducing greenhouse gas emissions. Given that natural gas is currently less GHG intensive than the electricity grid, but that the electricity grid is decarbonizing while natural gas cannot be decarbonized, it may not be appropriate to establish GHG savings as a performance benchmark. Without explicit recognition of the ultimate importance of long-term and permanent GHG reductions, using GHG savings as a benchmark could unintentionally incentivize fuel switching away from electricity and towards natural gas, which would be contrary to the long-term carbon reduction goals of the District. However, it is important that DOEE and the DCSEU are aware of the GHG impacts of each DCSEU project and the DCSEU portfolio so the District should take steps to incorporate GHG savings into the data tracked by the DCSEU.
DC|2018|124|275|Owners of affordable housing developments should also be eligible to apply for a short-term waiver to be exempt from BEPS. In exchange for a grace period, the owners would need to submit a long-term plan detailing a compliance path, or follow a similar requirement. For affordable housing developments required to take compliance actions, the District should also consider offering financial incentives to owners of affordable housing developments. To ensure the BEPS is applied fairly and consistently, the District should also introduce a requirement for verification of the benchmarking data by a licensed professional once every three years. Similar requirements exist in Chicago, IL, and Montgomery County, MD, and have increased data quality and reliability beyond what DOEE has been able to achieve with existing in-house enforcement resources.
DC|2018|208|275|Hosting capacity refers to the capacity of any given portion of the distribution system to accommodate additional DER given existing and already-planned facilities.327 A hosting capacity study of the District’s distribution grid will provide critical information for integrated distribution planning (Action ESM.3), as well as any locational value assessments. In particular, study results will help the District identify and compare different opportunities to increase the capacity of existing feeder lines, either through targeted building energy use reduction actions, or the use of new DER technologies (e.g., smart inverters).
DC|2018|271|275|The Clean Energy DC team coordinated a series of interviews that focused on the intersection of energy, environment, and social equity. The team invited local and national experts, leaders, and organizations focused on local and national sustainability, social justice, policy advocacy, and community development issues to review and critique the draft Plan’s recommended actions. Representatives from the following organizations and businesses participated in an interview:  Anacostia Riverkeeper  Children’s Environmental Health Network  Grid Alternatives  Groundswell  Nspiregreen  Provoc  Sierra Club DC  University of the District of Columbia
Delaware|2014|23|112|Impacts to workforce: Worker health and safety is a particular concern for agencies with many outdoor workers, such as the DelDOT, DNREC, and DSHS, which employ maintenance workers, field staff, park rangers, state police, and emergency personnel. Extreme heat is considered a key risk; safe travel and accessibility to work sites is also a concern during extreme precipitation and flooding events. Agencies have identified responses that include specific discussions regarding revised guidelines for safety training, improved protective equipment, alternative work schedules, changes to uniform dress code, and fleet vehicles able to navigate through flood conditions.
Delaware|2014|44|112|The Delaware State Housing Authority should:  Evaluate energy efficiency standards of the Low Income Housing Tax Credit program.  Explore partnering on grants that address resiliency, such as the U.S. Department of Housing and Urban Development's National Disaster Resilience Competition.  Consider sea level rise impacts in its programs that facilitate new construction and or rehabilitation.  Work with the 11 housing counseling agencies to incorporate awareness on sea level rise into their prepurchase counseling.  Promote sustainable building practices in the Downtown Development District grant program.
Delaware|2014|49|112|Flood Avoidance and Design Guidance To accompany the Flood Risk Adaptation Map, a Flood Avoidance and Design Guidance document is under development. The guidance document is envisioned to be an easy-to-use resource for all state agency employees involved in a capital project, from site-selection to construction. It will step users through the process of using the Flood Risk Adaptation Map to avoid construction of new structures and infrastructure in flood-prone areas. If avoidance is not feasible, the guidance document also helps a user find and select the appropriate flood level and adaptation strategies. The guidance is currently in draft form and under review and discussion by FAW members. It is on track to be completed during the first quarter of 2015.
Delaware|2014|89|112|DOE should work with Facilities Management/OMB and the districts to encourage LEED certification, Green Ribbon standards, or any other standards to promote the most efficient design and construction for school buildings that reduces the environmental footprint. The state approves all major capital school plans and will support the use of third-party standards that guide design for capital school projects.
Delaware|2014|101|112|DNREC (Division of Fish and Wildlife) should prepare to control mosquito populations nearly year-round to address increased complaints and to reduce transmission of mosquito-borne diseases, including maximizing use of non-insecticidal source reduction methods (e.g., open marsh water management, impoundment water-level management, fish stocking); expanding public education and outreach efforts to increase participation in water sanitation to decrease mosquito-breeding habitats; and exploring new regulatory tools to increase compliance. Increased mosquito population and mosquito-borne disease surveillance and monitoring will also be needed, as well as an increase in use of larvicides and adulticides as warranted to meet the public's needs, demands, and expectations.
Florida|2008|100|609|In the agricultural sector, the Action Team found significant opportunity in promoting biofuels production using feedstocks and production methods with superior GHG benefits (superior to conventional starch‐based ethanol). It should be noted that the GHG benefits did not include any indirect impacts associated with emissions resulting from land use change.2 The recommendations on biofuels production were aimed primarily at production of advanced (cellulosic) biofuels. The production and use of these fuels was found to offer substantial GHG reduction potential (more than eight MMtCO2e by 2025; see AFW‐7 in Appendix D).
Florida|2008|105|609|This recommendation seeks to increase the sequestration potential of the state’s forests by increasing the forest base through afforestation projects, increasing sequestration potential through reforestation (re‐stocking forests), and aggressive urban tree planting programs. The urban tree element of this recommendation has an additional benefit of reducing energy demand through shading of homes and commercial buildings (producing a greater GHG benefit than the sequestration of carbon in these trees). The afforestation goal is to increase the area of forested lands in the state by 50,000 acres annually through 2025. For reforestation, the goal is to implement reforestation activity on all harvested acres by 2025. For urban forestry there are both primary (based on offsetting metropolitan GHG emissions) and secondary (tree canopy cover) goals; both of these could be met through aggressive tree planting goals of 6.7 million trees on average per year through 2025.
Florida|2008|261|609|The Florida marginal cost curve is developed based on the reduction potential and mitigation cost/saving data of individual mitigation options in the sectors that are covered by the cap‐and‐ trade program. Since the sectoral coverage of the WCI cap‐and‐trade program includes basically all sectors except agriculture, forestry, and waste management sectors, we collected the 2020 Florida GHG reduction potential and mitigation cost/saving data of individual options that are quantitatively analyzed by the ESD and TLU TWGs.
Florida|2008|121|609|Insurance rates should reflect risks from climate and climate change and be equitable and affordable. In addition, policies should discourage high risk development, particularly along the coast.
Florida|2008|139|609|The Legislature, the Florida PSC, and other relevant state agencies are encouraged to prioritize the identification and elimination of barriers that impede the development of renewable resources in the state. Regulatory policies can include solar or wind easements of access rights, development guidelines at the local level to enhance renewable energy generation (for example, requiring proper street orientation), and requirements that utilities provide information and utility leasing programs for renewable energy production to customers in remote regions.
Iowa|2008|39|470|Implementation Mechanisms: The analysis for each option (see Appendices F through J) of the ICCAC includes guidance on the policy instruments or “mechanisms” that were prescribed or assumed for the policy action. This includes a range of potential mechanisms including, for instance, funding incentives, codes and standards, voluntary and negotiated agreements, market based instruments, information and education, reporting and disclosure, and other instruments. In some cases, the recommended instruments are precise. In other cases, they are more general and envision further work to develop concrete programs and steps to achieve the goals recommended by the ICCAC.
Iowa|2008|86|470|By a majority vote, the ICCAC presents a policy option that, if deemed necessary, would build one new 1200-megawatt nuclear power plant in Iowa by January 1, 2020. It is currently estimated that it would take approximately 10–12 years to design, permit, and construct a new nuclear power plant. Therefore, steps should be taken today if Iowa chooses to employ nuclear power as part of a balanced and diversified energy portfolio that achieves Iowa’s long-term carbon emission reduction goals. The focus of this particular option is to determine the economic feasibility of nuclear power in a carbon-constrained environment, and to define specific state legislative and regulatory actions to facilitate licensing, financing, and construction of a new nuclear power plant in Iowa. There are considerable uncertainties about the cost characteristics of new nuclear power. The latest numbers for nuclear power, based on an average of data prepared by Progress Energy Florida and Florida Power and Light, estimate the total levelized unit cost of nuclear power is $100/MWh ($2006 dollars) generated.2 This is nearly double the $52/MWh used in the quantification for CRE-7 in Iowa.
Iowa|2008|250|470|Commission a study that would identify areas in Iowa’s transmission system where upgrading and/or expanding transmission would enable the state’s wind resources to be developed for Iowa users and for potential exports to other states. The study would focus on identifying both areas where large expansions are necessary to catapult Iowa’s wind production, as well as areas where smaller upgrades would enable wind installations for local area purposes. The study would seek to quantify the incremental costs and identify the benefits and implementation time frames for alternatives that yield additional increases to transmission and distribution (T&D) system capabilities, beyond normal planned expansion. The analysis should take into account reductions in GHG emissions that would result from energy saved due to lower line losses.
Iowa|2008|281|470|While a few local metropolitan areas have completed rapid transit (i.e., Bus Rapid Transit, commuter rail) studies, the state will provide the technical assistance and leadership needed to assist or help initiate future studies with local and regional governments. Transit projects and local transit agency goals will be reflected in the State Transportation Plan and will be considered in any inventory of funding needs for traffic mitigation and studies of specific roadway capacity. Currently, travel demand models in Iowa are not able to directly consider the impacts of additional or expanded transit service on total VMT in an area. This ability needs to be researched further and implemented along with other tools that can provide quantifiable estimates of VMT reduction due to additional or expanded transit service along with land use patterns.
Iowa|2008|376|470|This policy option would convert marginal agricultural land used for annual crops to permanent cover, such as grassland/rangeland, orchard, or forest, where the soil carbon or carbon in biomass is higher under the new land use. It would also adopt mechanisms to discourage theses acres from returning to either conventionally tilled production or suburban/urban development.
Illinois|2007|13|64|The positive economic outcomes are largely due to policies that would replace imports of coal, oil, and natural gas with in-state investments in renewable energy and energy efficiency measures. Dollars that would otherwise be exported to out-of-state companies are instead invested in Illinois. Although electricity rates would increase modestly due to compliance costs for fossil fuel electric power plants, the amount of the rate increases is reduced over time. In addition, the rate increases are more than offset by the energy efficiency measures that would reduce overall energy costs through energy savings for homes and businesses as noted above.
